EXPERIMENT,DEVICES,CLOUDS,MAX_QUEUE_SIZE,AVG_QUEUE_SIZE,TOTAL_JOBS,AVG_JOBS_DEVICE,MAX_JOBS_DEVICES,AVG_JOBS_CLOUD,MAX_JOBS_CLOUD,DEVICES_WITH_1+JOB,EXECUTION_TIME_AVG,EXECUTION_TIME_MAX,EXECUTION_TIME_MIN,EXECUTION_TIME_DEVICE_AVG,EXECUTION_TIME_DEVICE_MAX,EXECUTION_TIME_DEVICE_MIN,EXECUTION_TIME_CLOUD_AVG,EXECUTION_TIME_CLOUD_MAX,EXECUTION_TIME_CLOUD_MIN,AVG_EXPERIMENT_TIME,MAX_EXPERIMENT_TIME
MultiDeviceSchedulerLocalRemoteRoundRobin10/0/0,6,0,9,9.0,283,47.166666666666664,59,0,0,6,188516.32740737146,618001,9716,188516.32740737146,618001,9716,0,0,0,805469.0,838260
SingleDeviceSchedulerRemote04/0/2,2,0,2,1.0,15,7.5,15,0,0,2,15959.533333333333,31555,9082,15959.533333333333,31555,9082,0,0,0,235390.0,235484
SingleDeviceSchedulerRemote04/0/1,2,0,3,1.5,13,6.5,13,0,0,2,15118.0,32526,8939,15118.0,32526,8939,0,0,0,196195.0,196257
SingleDeviceSchedulerRemote04/0/0,2,0,3,1.5,12,6.0,12,0,0,2,16836.75,32254,8774,16836.75,32254,8774,0,0,0,242588.5,242685
MultiDeviceSchedulerLocalRemoteRandom03/0/2,2,0,9,4.5,54,27.0,30,0,0,2,129222.15416666667,290732,9449,129222.15416666667,290732,9449,0,0,0,523152.5,528367
MultiDeviceSchedulerLocalRemoteRandom03/0/1,2,0,9,4.5,49,24.5,26,0,0,2,170050.14464882942,330377,10085,170050.14464882942,330377,10085,0,0,0,1052091.5,1498125
MultiDeviceSchedulerLocalRemoteRandom03/0/0,2,0,8,6.0,53,26.5,29,0,0,2,35383.316091954024,93917,8997,35383.316091954024,93917,8997,0,0,0,329564.5,329653
EstimatedTimeScheduler12/0/2,4,0,8,7.5,103,25.75,28,0,0,4,47429.6001984127,103423,9325,47429.6001984127,103423,9325,0,0,0,306994.5,321533
EstimatedTimeScheduler12/0/1,4,0,9,8.0,109,27.25,31,0,0,4,48168.65415307235,133491,9098,48168.65415307235,133491,9098,0,0,0,337224.5,361367
EstimatedTimeScheduler12/0/0,4,0,9,8.0,114,28.5,33,0,0,4,55217.378393308085,108494,9594,55217.378393308085,108494,9594,0,0,0,303528.25,319202
MultiDeviceSchedulerLocalRemoteRoundRobin02/0/2,2,0,9,9.0,88,44.0,51,0,0,2,178904.13487016427,429104,10397,178904.13487016427,429104,10397,0,0,0,665621.5,666303
MultiDeviceSchedulerLocalRemoteRoundRobin02/0/1,2,0,9,9.0,98,49.0,54,0,0,2,211311.76557239058,472512,11102,211311.76557239058,472512,11102,0,0,0,695624.5,711390
